Session_Duration (hours),Calories_Burned,Water_Intake (liters),Experience_Level
1.31,1732.08,2.61,2.02
1.68,2400.55,2.69,2.99
1.28,1382.4,1.8,2.0
1.44,1266.05,2.29,1.0
0.8,792.72,2.19,1.01
1.48,1067.38,2.2,2.02
1.25,1352.25,2.48,2.02
1.12,1355.2,1.79,1.0
1.31,1298.08,2.42,1.01
1.49,1806.18,2.69,1.02
1.23,810.32,2.71,1.0
0.83,729.07,2.01,1.0
1.48,1597.07,2.31,1.99
0.54,356.08,3.08,1.0
1.18,1556.3,2.5,1.99
1.3,1405.17,1.62,2.01
1.97,1538.96,2.68,3.02
1.26,1665.97,2.62,2.02
1.21,1160.63,3.49,1.99
0.67,663.3,2.31,1.0
1.14,1095.31,2.61,2.01
1.17,842.4,3.57,2.0
1.46,1927.2,2.19,2.0
1.09,1178.18,2.11,2.01
0.86,1040.6,1.51,1.0
1.68,1964.09,2.7,2.99
1.81,2590.29,3.5,3.01
1.19,1570.8,1.98,2.0
1.77,1381.66,3.5,3.01
0.8,968.0,2.21,1.0
1.34,1765.85,2.29,1.98
1.69,1977.3,3.5,3.0
1.66,1940.71,3.49,2.99
1.02,979.2,2.73,2.0
1.36,1305.6,2.61,2.0
0.57,689.7,2.0,1.0
1.41,1859.65,2.57,1.99
1.38,993.6,2.89,2.0
1.45,1920.38,2.91,2.04
1.67,2386.26,2.7,2.99
1.46,962.72,2.1,1.0
1.25,903.0,3.33,2.04
1.57,2245.1,2.69,3.0
1.15,827.31,1.52,1.99
1.38,914.11,2.01,1.04
1.67,2386.26,2.7,2.99
1.35,1296.0,2.29,2.0
0.96,634.18,1.58,1.01
0.84,553.39,2.21,1.0
0.53,640.13,1.8,1.0
0.99,951.19,2.8,2.01
1.12,1352.74,2.98,1.0
1.48,975.91,3.51,1.0
1.83,2144.39,2.7,3.02
1.89,2696.46,2.68,2.97
1.12,986.5,3.59,1.01
1.46,1925.59,1.52,1.99
0.93,921.54,1.71,1.01
1.23,811.06,2.18,1.0
1.36,896.78,2.89,1.0
1.87,1457.48,2.7,2.99
1.45,1044.0,2.89,2.0
1.5,1983.3,2.19,2.02
1.05,1007.16,1.79,1.99
1.88,1467.53,2.7,3.01
1.13,811.57,3.71,1.97
1.8,2570.04,2.69,2.98
0.75,741.15,2.99,1.0
1.32,870.41,3.01,1.0
1.06,1144.8,2.9,2.0
1.19,1175.96,1.62,1.0
1.07,1413.58,2.9,2.01
1.42,1532.32,2.0,1.99
1.22,1075.55,1.61,1.02
0.89,587.4,2.39,1.0
2.0,2851.2,3.49,2.96
1.5,1317.6,1.8,1.0
1.41,1016.89,2.63,2.02
1.32,1268.26,2.61,2.01
1.87,2669.99,3.5,2.98
0.93,817.66,2.0,1.0
1.22,879.13,1.9,2.01
1.35,1456.78,3.71,1.99
1.88,1465.27,3.49,2.99
1.71,1779.77,3.49,3.01
1.83,1427.4,2.7,3.0
1.15,1243.04,1.86,2.01
1.7,1985.94,3.5,2.98
1.36,1793.7,2.09,1.99
1.21,1161.6,1.79,2.0
1.4,1386.0,3.39,1.0
0.88,1065.77,3.5,1.01
1.3,1716.0,1.59,2.0
1.31,1298.08,3.29,1.01
1.52,1579.58,3.5,2.99
1.45,1436.8,2.1,1.01
1.47,1292.42,1.99,1.0
1.03,1018.77,2.2,1.0
1.45,1754.5,2.09,1.0
0.57,689.07,2.7,1.0
0.94,1137.4,1.79,1.0
1.35,1777.54,2.31,1.97
1.83,2144.39,2.72,3.02
1.02,733.79,2.4,1.99
1.47,1293.6,3.49,1.0
1.14,820.8,3.39,2.0
1.15,826.62,3.0,1.98
1.4,1234.24,3.4,1.02
1.0,957.6,3.41,1.97
1.46,961.85,3.48,1.0
1.44,1425.6,3.49,1.0
1.2,864.0,1.71,2.0
1.02,1348.64,2.31,2.02
1.14,753.08,2.2,1.01
1.94,2774.2,2.71,3.0
1.78,2082.6,2.71,3.0
0.85,1026.63,2.31,1.0
0.77,507.28,3.4,1.0
0.87,573.68,1.88,1.0
1.03,679.18,2.09,1.0
0.91,799.34,2.19,1.0
0.54,652.81,3.3,1.0
1.16,1253.84,2.51,2.01
1.12,1073.41,3.21,1.98
1.15,1516.74,1.49,1.99
1.66,1293.8,3.49,2.99
1.24,892.06,3.32,1.99
0.95,837.52,3.2,1.02
0.62,545.1,3.67,1.0
1.95,2797.08,2.71,3.04
1.54,1200.28,3.51,2.99
0.59,518.26,2.62,1.0
1.87,1943.3,3.51,2.99
1.45,1914.0,3.6,2.0
1.81,1880.95,3.49,2.99
1.67,1301.6,3.5,2.99
1.0,960.0,1.61,2.0
1.48,1598.4,2.79,2.0
1.13,1490.36,2.49,1.99
1.7,1766.64,2.7,2.99
0.58,573.16,3.4,1.0
0.73,481.8,3.5,1.0
1.0,961.6,3.11,2.02
1.25,903.0,1.99,2.04
1.44,1557.79,2.91,2.02
1.39,1499.95,2.29,1.99
1.4,1386.0,2.21,1.0
1.03,741.6,2.01,2.0
1.12,1206.58,2.38,1.97
1.36,898.42,2.9,1.01
1.05,1134.0,2.52,2.0
0.58,574.2,2.31,1.0
1.92,1499.9,2.72,3.02
0.78,685.78,2.81,1.0
0.74,734.6,2.3,1.03
0.68,672.59,3.11,1.0
1.89,2214.7,2.69,3.02
1.07,1152.71,3.4,1.97
1.07,1412.4,2.29,2.0
1.39,998.3,1.5,1.97
0.76,666.98,2.09,1.0
0.87,1050.79,1.51,1.0
1.41,1524.07,2.22,2.01
1.35,972.0,2.23,2.0
1.98,1543.21,3.5,2.99
1.39,999.13,3.4,1.98
1.73,2024.1,2.7,3.0
1.2,1190.16,2.17,1.02
1.08,1306.8,2.59,1.0
1.81,2119.33,2.7,3.01
1.81,1409.63,2.7,2.98
1.08,714.1,2.08,1.02
1.38,1364.96,2.0,1.0
1.75,1363.95,2.68,2.99
1.83,1903.2,2.7,3.0
1.32,870.41,2.51,1.0
1.48,1419.62,1.68,1.99
1.02,1231.96,2.31,1.0
1.81,1882.4,3.51,3.0
0.78,686.4,3.51,1.0
1.88,1955.2,2.69,3.0
1.19,1572.11,1.99,2.01
1.19,1441.21,3.72,1.01
0.76,667.58,2.6,1.0
0.91,801.53,1.9,1.01
0.8,528.48,1.59,1.01
1.39,999.97,2.31,1.99
1.45,1914.0,1.99,2.0
1.47,1056.64,2.7,1.98
1.09,786.11,1.68,2.02
1.62,1899.77,2.71,3.03
0.72,475.2,2.51,1.0
0.89,781.06,2.61,1.0
1.1,1188.99,2.01,2.01
1.09,786.11,3.31,2.02
1.49,1072.8,3.4,2.0
0.96,1161.6,2.11,1.0
1.41,1351.34,2.09,1.98
1.02,979.2,2.79,2.0
0.8,968.88,1.6,1.01
0.74,487.51,2.31,1.0
0.54,653.4,3.41,1.0
1.22,1474.86,1.62,1.0
1.65,1716.0,2.69,3.0
1.71,1334.83,3.5,3.01
1.39,1502.45,3.42,2.01
1.0,1321.1,2.81,2.01
0.72,633.02,3.6,1.0
1.01,887.18,3.51,1.0
1.33,1752.67,3.1,1.98
0.61,535.82,3.68,1.0
1.93,2008.74,3.5,3.01
1.72,2455.82,2.72,2.98
0.73,885.71,2.7,1.03
1.01,726.59,3.51,1.99
1.45,1752.9,1.9,1.0
1.9,2226.42,3.51,3.02
0.82,722.26,3.7,1.01
1.49,1607.86,1.52,1.99
1.78,2081.0,2.71,2.99
0.61,738.1,2.21,1.0
1.93,2755.65,2.68,2.98
1.04,1365.94,2.31,1.94
1.37,1483.3,2.2,2.03
1.85,1924.0,3.49,3.0
0.71,469.03,3.09,1.01
1.8,1869.12,2.69,2.98
1.26,1661.81,1.8,1.99
1.71,1775.66,3.5,2.98
1.03,1113.33,2.11,2.01
0.52,457.18,3.19,1.0
0.75,660.0,2.1,1.0
1.84,1913.6,2.69,3.0
0.71,469.03,2.58,1.01
1.06,932.8,1.89,1.0
1.09,1046.4,3.41,2.0
0.83,731.06,3.5,1.01
1.12,1073.41,3.33,1.98
0.55,484.0,2.0,1.0
1.62,1895.4,2.71,3.0
1.34,1770.27,1.9,2.01
1.06,1018.45,1.49,2.01
1.25,1197.0,2.51,1.97
1.15,828.0,2.49,2.0
0.67,663.3,2.58,1.0
1.57,1839.73,3.49,3.02
1.17,841.7,3.18,1.99
1.48,975.91,2.0,1.0
1.06,1050.35,2.71,1.01
0.64,772.99,2.8,1.0
1.9,2717.0,3.49,3.0
0.74,893.77,1.91,1.0
1.23,887.81,3.17,2.03
1.6,2289.76,2.71,3.01
1.33,1606.37,2.5,1.0
0.59,389.75,2.61,1.01
1.42,1874.4,3.39,2.0
1.02,734.4,1.9,2.0
1.08,1167.37,2.1,2.01
1.01,1088.98,1.49,1.98
1.45,958.74,1.9,1.02
1.2,1188.0,2.91,1.0
0.56,369.26,2.18,1.0
1.43,1890.75,2.2,2.02
1.35,1779.03,2.1,1.98
1.52,1182.86,3.51,2.97
1.09,1321.3,3.41,1.02
0.81,534.6,3.67,1.0
1.07,769.76,2.4,1.99
1.01,1337.64,3.43,2.04
1.41,1521.53,2.58,1.99
1.75,2050.65,2.7,3.02
0.69,607.75,2.6,1.01
0.81,712.8,2.28,1.0
0.66,435.6,2.29,1.0
1.02,1101.6,2.88,2.0
1.39,1498.7,1.51,1.98
1.39,1377.35,3.43,1.01
0.8,967.12,2.9,1.0
1.11,977.69,3.1,1.01
1.19,1573.42,2.31,2.02
1.2,1294.92,1.98,1.99
0.5,330.0,1.79,1.0
1.02,979.2,3.3,2.0
0.73,481.8,2.7,1.0
1.86,1449.68,2.69,2.99
1.34,1625.82,2.31,1.03
1.43,1544.4,2.59,2.0
1.28,844.8,3.41,1.0
1.73,2022.54,3.5,2.99
1.31,940.84,2.6,1.97
1.19,1283.06,3.59,1.98
1.84,2631.2,3.5,3.0
1.13,993.5,2.17,1.0
1.81,1411.8,3.49,3.0
1.41,1393.36,2.0,1.0
1.13,992.59,3.11,1.0
0.59,388.69,2.61,1.0
0.5,605.0,3.19,1.0
1.29,926.48,3.48,1.97
1.26,1525.99,2.49,1.01
1.2,1584.0,3.11,2.0
0.58,701.16,3.43,1.0
1.15,827.31,1.5,1.99
1.08,711.5,2.58,1.0
1.13,745.8,2.21,1.0
0.65,570.96,2.31,1.0
1.38,1818.56,2.11,1.98
1.26,1211.62,2.5,2.02
1.4,1510.74,2.57,1.99
1.1,1188.0,1.72,2.0
1.27,1259.59,2.6,1.02
0.69,683.1,2.4,1.0
1.29,1236.34,2.02,1.98
0.57,564.3,3.19,1.0
1.72,1340.57,2.71,2.99
1.75,1822.8,3.49,3.02
1.49,1313.58,2.03,1.02
1.66,1298.78,3.5,3.04
1.34,1324.19,2.31,1.0
1.91,2731.3,3.51,3.0
1.17,771.5,2.51,1.0
1.31,1585.1,2.41,1.0
1.04,1371.66,3.2,1.99
1.4,1514.52,1.51,2.02
1.19,1141.45,2.6,1.99
0.7,691.11,2.51,1.0
1.1,1331.0,2.49,1.0
1.35,1459.22,2.57,2.01
1.38,1491.64,2.71,2.01
1.93,2762.02,3.5,3.01
1.12,737.86,3.09,1.0
1.31,1415.98,3.01,2.01
1.88,2197.91,2.69,2.99
1.36,980.83,1.6,2.02
1.19,1439.9,1.99,1.0
1.66,2370.15,3.51,2.98
1.3,934.44,1.61,1.98
1.33,1435.2,2.3,1.99
1.33,1437.6,2.31,2.01
1.46,1052.08,1.98,2.01
1.15,1103.08,2.51,1.99
1.25,900.0,2.5,2.0
1.67,1953.9,3.48,3.0
1.99,2328.3,2.68,3.0
1.72,2010.85,3.5,2.99
1.49,1429.21,2.8,1.99
1.13,745.8,2.19,1.0
1.59,1239.25,3.5,2.99
1.61,1671.82,2.68,2.98
1.22,1315.4,2.31,1.98
2.01,2876.51,3.5,3.01
1.97,1535.42,3.51,2.99
1.47,1587.6,2.39,2.0
1.03,906.4,1.6,1.0
1.23,811.06,1.98,1.0
1.42,1023.25,2.61,2.01
1.18,1274.4,2.39,2.0
0.98,1186.88,3.09,1.01
0.58,700.52,2.71,1.0
1.05,1270.5,2.38,1.0
1.37,1806.89,2.8,1.99
1.28,1383.55,1.89,2.01
1.71,2003.78,3.52,3.02
1.17,1263.6,2.71,2.0
1.89,1965.6,2.69,3.0
1.3,858.0,2.2,1.0
1.66,1723.74,3.5,2.98
1.48,1064.71,2.4,1.99
1.97,2819.27,2.68,3.01
1.57,1223.66,3.51,2.99
1.0,1080.9,2.41,2.01
1.17,1415.7,2.39,1.0
1.08,1306.8,3.41,1.0
1.27,1538.1,3.49,1.01
0.55,482.24,3.39,1.0
2.01,2346.27,3.5,2.97
1.18,848.18,2.89,1.98
1.24,1499.04,2.48,1.0
1.0,718.8,2.3,1.98
1.1,792.0,2.8,2.0
1.62,1895.4,2.7,3.0
0.99,652.81,1.92,1.0
1.23,1181.78,3.31,2.01
0.8,703.36,3.41,1.0
1.17,1159.35,2.39,1.01
0.61,738.1,3.7,1.0
1.08,1309.18,2.58,1.02
1.41,1861.2,2.49,2.0
1.51,1178.71,3.5,3.01
1.26,1247.4,3.73,1.0
1.46,1925.59,1.5,1.99
0.68,822.8,2.91,1.0
1.76,2059.2,2.69,3.0
1.04,1123.2,2.51,2.0
0.64,634.75,2.71,1.02
1.25,1239.75,2.79,1.02
1.31,1296.9,2.21,1.0
1.0,1212.2,2.59,1.02
1.76,1830.4,2.7,3.0
1.19,1573.42,2.38,2.02
1.13,1366.06,1.71,1.0
1.8,1872.0,3.5,3.0
1.39,1376.1,1.71,1.0
1.96,2036.83,3.5,2.99
0.74,651.2,2.71,1.0
0.9,892.62,2.09,1.02
0.56,369.26,3.19,1.0
0.69,455.4,3.09,1.0
0.79,954.16,2.79,1.0
1.14,820.12,2.39,1.99
1.77,2529.15,3.51,2.99
0.55,666.1,3.37,1.01
0.83,1003.39,2.6,1.0
1.07,1028.06,2.1,2.01
1.82,2596.59,3.5,2.97
1.28,1127.42,2.29,1.01
1.45,1435.5,3.2,1.0
1.44,1556.5,3.39,2.01
0.98,971.96,2.11,1.02
1.2,1585.32,2.9,2.01
0.97,959.43,3.18,1.0
1.19,1572.11,2.42,2.01
1.35,970.38,2.43,1.98
1.49,1072.8,2.01,2.0
0.64,563.2,1.72,1.0
0.98,972.85,2.61,1.03
1.02,896.78,2.31,1.0
1.22,1314.31,3.21,1.97
1.01,1332.09,3.49,1.99
1.1,1450.79,2.81,1.99
1.3,936.78,3.51,2.01
0.72,871.2,1.53,1.0
1.12,739.87,3.12,1.01
1.78,2541.48,3.48,2.98
0.84,1017.32,2.41,1.01
1.78,1849.78,2.69,2.99
1.35,1777.54,2.42,1.97
1.39,917.4,3.0,1.0
1.99,2845.7,3.49,3.0
1.25,1200.0,3.19,2.0
1.07,1027.2,3.5,2.0
0.61,536.8,2.6,1.0
1.32,872.78,2.9,1.02
1.16,1114.53,2.48,2.01
0.96,846.34,2.1,1.02
1.29,1394.36,2.38,2.01
1.55,1613.24,3.48,3.01
1.66,1943.69,3.5,3.01
1.2,1297.08,2.81,2.01
1.02,896.78,2.1,1.0
1.46,965.35,2.09,1.02
1.13,1490.36,2.49,1.99
1.65,1717.32,2.7,3.01
1.2,1057.92,2.5,1.02
0.76,668.19,3.09,1.0
1.88,1467.53,3.47,3.01
1.63,1905.63,3.51,2.99
1.33,1609.3,2.23,1.0
1.13,1218.37,1.68,1.98
0.52,343.2,1.79,1.0
1.39,1683.43,1.9,1.01
1.76,1831.81,3.5,3.01
1.31,1417.16,1.98,2.02
1.63,1269.44,2.72,2.98
0.74,488.84,1.89,1.01
1.13,1219.38,2.18,1.99
1.07,1028.06,2.2,2.01
1.93,1504.24,2.7,2.99
1.0,1079.1,1.6,1.99
1.86,2177.87,3.5,3.01
0.91,600.05,1.7,1.0
1.31,863.03,3.41,1.0
0.97,960.3,1.72,1.0
1.03,1111.47,2.38,1.99
1.33,1277.86,2.89,2.01
0.59,585.16,3.42,1.02
1.07,771.04,1.98,2.01
1.42,1874.4,2.89,2.0
1.47,1940.4,2.31,2.0
1.97,2819.27,2.7,3.01
1.99,2331.88,3.49,3.02
1.8,1401.84,3.5,2.98
1.09,720.05,2.1,1.01
1.08,778.9,1.7,2.02
1.71,1777.03,3.49,2.99
1.31,1727.76,3.3,1.99
1.23,1083.38,2.9,1.01
1.46,1440.14,1.78,1.0
1.67,2389.94,2.69,3.01
1.64,1709.54,3.5,3.03
1.99,2069.6,2.69,3.0
1.15,1244.07,1.91,2.02
0.77,679.45,2.6,1.03
1.46,964.48,2.08,1.01
1.48,1955.23,2.41,2.01
1.08,1068.23,2.7,1.0
0.54,356.72,2.21,1.01
0.51,336.29,3.09,1.0
1.46,1922.38,2.92,1.97
0.8,966.24,1.69,1.0
1.48,1420.8,3.4,2.0
1.05,1133.06,2.62,1.99
1.1,1055.12,2.8,1.99
1.08,1167.37,2.3,2.01
1.03,1018.77,2.1,1.0
1.98,2057.62,2.7,2.99
1.46,1575.49,2.4,1.99
0.85,747.32,3.27,1.0
1.06,1018.45,3.28,2.01
1.71,2449.06,3.5,3.02
1.12,1210.61,2.19,2.01
1.37,985.58,3.71,1.99
1.78,1389.47,2.71,3.01
1.89,2704.78,3.49,3.01
1.43,1027.88,2.19,1.98
1.03,1358.47,2.71,1.99
1.86,1938.86,2.68,3.03
1.24,1187.42,2.1,1.97
0.54,535.57,3.11,1.02
1.96,2287.91,3.52,2.97
1.82,1419.6,3.49,3.0
0.54,356.72,1.81,1.01
1.29,1238.4,2.3,2.0
1.26,1211.62,1.8,2.02
1.4,1341.76,3.32,1.98
0.71,469.03,3.0,1.01
1.01,667.81,2.1,1.02
1.2,1587.96,1.98,2.03
1.14,1376.89,3.61,1.0
0.96,1163.71,1.91,1.02
1.18,848.18,2.4,1.98
1.41,1358.11,2.61,2.04
0.5,605.0,1.79,1.0
1.78,2547.36,3.5,3.01
1.39,1225.42,1.99,1.02
1.17,1262.55,2.0,1.99
1.93,2256.36,2.68,2.99
0.82,541.2,2.09,1.0
1.26,906.44,3.68,1.99
1.67,2388.1,2.71,3.0
1.42,1363.2,2.88,2.0
1.32,1304.42,2.2,1.0
1.2,1151.04,2.31,1.99
1.56,1825.2,3.49,3.0
0.75,658.8,2.62,1.0
0.56,677.6,3.18,1.0
1.87,2667.93,3.48,2.97
1.83,2137.81,2.69,2.98
1.8,1404.0,2.7,3.0
1.09,1440.0,2.77,2.01
1.46,1445.4,1.81,1.0
0.8,968.88,3.39,1.01
1.43,1544.4,3.41,2.0
1.86,2172.85,3.53,2.98
1.45,1044.87,1.71,2.01
1.28,1229.82,2.31,2.01
1.19,1569.49,2.0,1.99
1.73,1350.44,2.68,3.01
1.24,817.66,1.78,1.0
1.44,1553.9,2.1,1.99
1.55,1812.1,2.7,2.99
1.24,1636.8,2.11,2.0
0.96,951.26,2.8,1.01
1.84,2631.2,2.69,3.0
0.78,514.8,2.08,1.0
1.51,1448.39,2.0,1.99
1.57,1838.31,3.51,3.01
1.14,1095.31,2.01,2.01
0.63,623.13,1.81,1.0
1.49,1607.86,2.8,1.99
1.29,1392.04,1.89,1.99
1.04,749.42,2.39,2.01
0.58,382.8,2.88,1.0
0.92,1115.22,1.72,1.02
0.68,824.3,2.71,1.02
1.49,1966.8,2.79,2.0
1.41,931.45,2.89,1.01
1.4,1694.0,3.39,1.0
1.43,1371.66,2.49,1.99
1.46,1049.45,1.9,1.98
1.44,1553.9,1.7,1.99
1.15,1242.0,2.47,2.0
1.23,886.34,2.31,2.01
1.49,1963.52,2.5,1.98
0.85,841.5,3.5,1.0
1.45,1563.39,2.29,1.98
1.02,1345.28,3.42,1.99
1.13,1222.43,1.9,2.02
1.39,1503.7,2.12,2.02
1.29,1238.4,2.3,2.0
1.1,1447.16,2.12,1.96
1.53,2189.58,3.5,3.01
1.02,734.4,2.59,2.0
0.94,929.75,3.1,1.0
1.15,1239.93,1.48,1.98
1.51,1330.01,1.51,1.01
1.06,1145.75,1.69,2.01
1.41,1355.86,2.18,2.02
1.43,1886.03,2.5,1.99
1.71,2445.3,2.69,3.0
1.12,739.2,2.09,1.0
1.57,1839.73,3.52,3.02
1.04,1124.14,2.61,2.01
1.27,1370.46,2.71,1.99
1.07,1294.7,3.19,1.0
1.9,2223.0,3.5,3.0
1.14,819.43,2.61,1.98
0.9,792.0,2.4,1.0
1.27,1220.22,2.2,2.01
1.74,2034.23,2.71,2.99
1.3,936.0,1.62,2.0
1.3,1718.86,3.09,2.02
0.8,967.12,2.88,1.0
1.0,1317.8,2.29,1.98
1.36,1347.62,2.9,1.01
0.75,660.6,2.49,1.01
1.38,1492.88,2.5,2.02
1.08,1306.8,3.41,1.0
1.28,1384.7,2.31,2.02
1.15,1388.97,2.6,1.0
0.61,535.82,3.68,1.0
1.28,1228.8,2.6,2.0
1.3,936.78,2.13,2.01
1.05,1134.0,3.21,2.0
1.47,1412.38,2.7,2.01
1.93,2259.84,2.7,3.01
0.75,906.68,3.02,1.0
1.15,1240.97,2.59,1.99
1.04,916.86,2.43,1.02
1.22,876.94,2.32,1.98
0.68,598.4,2.61,1.0
1.18,851.02,2.5,2.02
1.1,1188.0,2.1,2.0
0.59,583.57,2.91,1.0
1.13,1219.38,2.99,1.99
1.3,1406.34,2.08,2.02
0.95,941.36,2.11,1.01
1.33,956.0,2.1,1.98
1.28,1230.85,2.31,2.02
0.93,819.14,1.79,1.01
1.67,2391.77,2.7,3.02
1.48,1302.4,2.71,1.0
1.15,829.38,2.51,2.02
0.74,651.79,3.52,1.01
1.02,1236.44,1.69,1.02
1.47,1587.6,2.68,2.0
0.76,752.4,3.0,1.0
1.14,1004.11,1.69,1.01
1.06,763.2,2.91,2.0
1.33,1757.06,1.51,2.01
1.57,2243.37,3.52,2.99
1.27,1220.22,3.51,2.01
1.46,1444.09,2.22,1.0
0.65,427.83,2.71,1.0
1.0,1212.2,3.61,1.02
1.59,1656.14,2.7,3.02
1.9,2714.91,3.49,2.99
1.33,1276.8,2.1,2.0
0.91,800.8,2.62,1.0
1.37,1811.41,2.1,2.02
0.68,447.98,2.4,1.0
1.27,1370.46,1.69,1.99
1.48,1421.98,1.81,2.01
1.83,2144.39,3.49,3.02
0.61,536.8,1.5,1.0
1.01,891.22,2.29,1.03
1.33,1757.06,2.3,2.01
1.08,950.4,2.01,1.0
1.16,1113.6,1.48,2.0
1.45,1568.61,2.93,2.02
0.97,1176.9,2.11,1.03
1.01,998.08,2.12,1.0
1.36,1793.7,2.1,1.99
1.08,1166.4,2.81,2.0
0.66,579.74,2.59,1.0
1.15,1243.04,2.88,2.01
0.51,618.22,2.21,1.02
1.14,1503.55,2.69,1.99
1.42,1365.47,2.61,2.02
1.48,1958.48,2.42,2.03
1.39,1224.31,1.49,1.01
1.08,950.4,2.52,1.0
1.71,1334.83,2.69,3.01
1.38,909.14,2.3,1.0
0.73,481.8,2.69,1.0
1.81,1880.95,3.49,2.99
0.84,737.86,3.5,1.0
1.29,929.57,1.82,2.01
0.93,613.24,3.11,1.0
0.61,536.8,2.3,1.0
1.94,2269.8,3.48,3.0
0.73,723.36,1.79,1.01
1.06,1017.6,1.71,2.0
1.23,1624.95,2.19,2.01
0.73,641.82,3.6,1.0
1.88,2201.29,2.71,3.01
0.95,836.76,2.01,1.01
1.13,1084.8,2.78,2.0
0.67,809.96,2.32,1.0
0.85,560.49,2.29,1.0
1.23,812.54,3.3,1.01
0.9,790.56,3.49,1.0
1.66,1727.73,3.49,3.01
1.21,1196.81,2.2,1.0
1.7,1989.0,3.5,3.0
1.41,930.6,1.62,1.0
1.19,858.94,3.1,2.03
1.46,1401.6,2.17,2.0
1.38,1324.8,2.3,2.0
1.19,1285.2,2.11,2.0
1.0,660.6,3.61,1.01
1.04,996.74,2.4,1.98
1.79,1864.46,2.7,3.02
1.77,2069.31,3.5,2.99
1.97,2051.95,3.5,3.02
1.48,1599.73,3.41,2.01
1.02,673.2,2.89,1.0
0.9,1089.0,2.6,1.0
1.08,950.4,3.21,1.0
1.84,1906.24,3.49,2.95
1.4,1344.0,3.28,2.0
1.2,1586.64,2.01,2.02
1.94,1512.04,2.68,2.99
1.44,1429.49,2.49,1.03
1.14,1381.91,2.1,1.02
1.32,1307.99,2.88,1.01
1.1,1188.0,2.2,2.0
1.39,1499.95,3.41,1.99
0.69,682.48,2.63,1.0
1.82,1418.51,2.7,2.99
0.75,661.2,3.48,1.02
0.69,456.23,2.3,1.02
1.09,957.46,2.69,1.0
0.53,349.8,3.31,1.0
1.16,1021.73,3.38,1.01
1.13,1221.42,1.98,2.01
1.16,1531.2,2.32,2.0
1.97,2048.8,2.69,3.0
1.84,2154.46,2.68,3.01
1.88,2196.22,3.51,2.98
2.0,2083.2,3.51,3.02
1.29,1705.64,2.59,2.02
1.21,1462.77,3.4,1.0
0.56,553.39,2.93,1.0
1.36,1796.7,3.4,2.01
