Session_Duration (hours),Calories_Burned,Water_Intake (liters),Experience_Level,Calories_Class,interaction
1.83,2144.39,2.7,3.02,1,5.5266
1.89,2696.46,2.68,2.97,1,5.6133
1.12,986.5,3.59,1.01,1,1.1312000000000002
1.46,1925.59,1.52,1.99,1,2.9053999999999998
0.93,921.54,1.71,1.01,1,0.9393
1.23,811.06,2.18,1.0,1,1.23
1.36,896.78,2.89,1.0,1,1.36
1.87,1457.48,2.7,2.99,1,5.5913
1.45,1044.0,2.89,2.0,1,2.9
1.5,1983.3,2.19,2.02,1,3.0300000000000002
1.05,1007.16,1.79,1.99,1,2.0895
1.88,1467.53,2.7,3.01,1,5.658799999999999
1.13,811.57,3.71,1.97,1,2.2260999999999997
1.8,2570.04,2.69,2.98,1,5.364
0.75,741.15,2.99,1.0,1,0.75
1.32,870.41,3.01,1.0,1,1.32
1.06,1144.8,2.9,2.0,1,2.12
1.19,1175.96,1.62,1.0,1,1.19
1.07,1413.58,2.9,2.01,1,2.1507
1.42,1532.32,2.0,1.99,1,2.8257999999999996
1.22,1075.55,1.61,1.02,1,1.2444
0.89,587.4,2.39,1.0,1,0.89
2.0,2851.2,3.49,2.96,1,5.92
1.5,1317.6,1.8,1.0,1,1.5
1.41,1016.89,2.63,2.02,1,2.8482
1.32,1268.26,2.61,2.01,1,2.6532
1.87,2669.99,3.5,2.98,1,5.5726
0.93,817.66,2.0,1.0,1,0.93
1.22,879.13,1.9,2.01,1,2.4521999999999995
1.35,1456.78,3.71,1.99,1,2.6865
1.88,1465.27,3.49,2.99,1,5.6212
1.71,1779.77,3.49,3.01,1,5.147099999999999
1.83,1427.4,2.7,3.0,1,5.49
1.15,1243.04,1.86,2.01,1,2.3114999999999997
1.7,1985.94,3.5,2.98,1,5.066
1.36,1793.7,2.09,1.99,1,2.7064000000000004
1.21,1161.6,1.79,2.0,1,2.42
1.4,1386.0,3.39,1.0,1,1.4
0.88,1065.77,3.5,1.01,1,0.8888
1.3,1716.0,1.59,2.0,1,2.6
1.31,1298.08,3.29,1.01,1,1.3231000000000002
1.52,1579.58,3.5,2.99,1,4.5448
1.45,1436.8,2.1,1.01,1,1.4645
1.47,1292.42,1.99,1.0,1,1.47
1.03,1018.77,2.2,1.0,1,1.03
1.45,1754.5,2.09,1.0,1,1.45
0.57,689.07,2.7,1.0,1,0.57
0.94,1137.4,1.79,1.0,1,0.94
1.35,1777.54,2.31,1.97,1,2.6595
1.83,2144.39,2.72,3.02,1,5.5266
1.02,733.79,2.4,1.99,1,2.0298
1.47,1293.6,3.49,1.0,1,1.47
1.14,820.8,3.39,2.0,1,2.28
1.15,826.62,3.0,1.98,1,2.2769999999999997
1.4,1234.24,3.4,1.02,1,1.428
1.0,957.6,3.41,1.97,1,1.97
1.46,961.85,3.48,1.0,1,1.46
1.44,1425.6,3.49,1.0,1,1.44
1.2,864.0,1.71,2.0,1,2.4
1.02,1348.64,2.31,2.02,1,2.0604
1.14,753.08,2.2,1.01,1,1.1514
1.94,2774.2,2.71,3.0,1,5.82
1.78,2082.6,2.71,3.0,1,5.34
0.85,1026.63,2.31,1.0,1,0.85
0.77,507.28,3.4,1.0,1,0.77
0.87,573.68,1.88,1.0,1,0.87
1.03,679.18,2.09,1.0,1,1.03
0.91,799.34,2.19,1.0,1,0.91
0.54,652.81,3.3,1.0,1,0.54
1.16,1253.84,2.51,2.01,1,2.3315999999999995
1.12,1073.41,3.21,1.98,1,2.2176
1.15,1516.74,1.49,1.99,1,2.2885
1.66,1293.8,3.49,2.99,1,4.9634
1.24,892.06,3.32,1.99,1,2.4676
0.95,837.52,3.2,1.02,1,0.969
0.62,545.1,3.67,1.0,1,0.62
1.95,2797.08,2.71,3.04,1,5.928
1.54,1200.28,3.51,2.99,1,4.6046000000000005
0.59,518.26,2.62,1.0,1,0.59
1.87,1943.3,3.51,2.99,1,5.5913
1.45,1914.0,3.6,2.0,1,2.9
1.81,1880.95,3.49,2.99,1,5.4119
1.67,1301.6,3.5,2.99,1,4.9933000000000005
1.0,960.0,1.61,2.0,1,2.0
1.48,1598.4,2.79,2.0,1,2.96
1.13,1490.36,2.49,1.99,1,2.2487
1.7,1766.64,2.7,2.99,1,5.083
0.58,573.16,3.4,1.0,1,0.58
0.73,481.8,3.5,1.0,1,0.73
1.0,961.6,3.11,2.02,1,2.02
1.25,903.0,1.99,2.04,1,2.55
1.44,1557.79,2.91,2.02,1,2.9088
1.39,1499.95,2.29,1.99,1,2.7661
1.4,1386.0,2.21,1.0,1,1.4
1.03,741.6,2.01,2.0,1,2.06
1.12,1206.58,2.38,1.97,1,2.2064000000000004
1.36,898.42,2.9,1.01,1,1.3736000000000002
1.05,1134.0,2.52,2.0,1,2.1
0.58,574.2,2.31,1.0,1,0.58
1.92,1499.9,2.72,3.02,1,5.7984
0.78,685.78,2.81,1.0,1,0.78
0.74,734.6,2.3,1.03,1,0.7622
0.68,672.59,3.11,1.0,1,0.68
1.89,2214.7,2.69,3.02,1,5.7078
1.07,1152.71,3.4,1.97,1,2.1079
1.07,1412.4,2.29,2.0,1,2.14
1.39,998.3,1.5,1.97,1,2.7382999999999997
0.76,666.98,2.09,1.0,1,0.76
0.87,1050.79,1.51,1.0,1,0.87
1.41,1524.07,2.22,2.01,1,2.8340999999999994
1.35,972.0,2.23,2.0,1,2.7
1.98,1543.21,3.5,2.99,1,5.9202
1.39,999.13,3.4,1.98,1,2.7521999999999998
1.73,2024.1,2.7,3.0,1,5.1899999999999995
1.2,1190.16,2.17,1.02,1,1.224
1.08,1306.8,2.59,1.0,1,1.08
1.81,2119.33,2.7,3.01,1,5.4481
1.81,1409.63,2.7,2.98,1,5.3938
1.08,714.1,2.08,1.02,1,1.1016000000000001
1.38,1364.96,2.0,1.0,1,1.38
1.75,1363.95,2.68,2.99,1,5.2325
1.83,1903.2,2.7,3.0,1,5.49
1.32,870.41,2.51,1.0,1,1.32
1.48,1419.62,1.68,1.99,1,2.9452
1.02,1231.96,2.31,1.0,1,1.02
1.81,1882.4,3.51,3.0,1,5.43
0.78,686.4,3.51,1.0,1,0.78
1.88,1955.2,2.69,3.0,1,5.64
1.19,1572.11,1.99,2.01,1,2.3918999999999997
1.19,1441.21,3.72,1.01,1,1.2019
0.76,667.58,2.6,1.0,1,0.76
0.91,801.53,1.9,1.01,1,0.9191
0.8,528.48,1.59,1.01,1,0.808
1.39,999.97,2.31,1.99,1,2.7661
1.45,1914.0,1.99,2.0,1,2.9
1.47,1056.64,2.7,1.98,1,2.9106
1.09,786.11,1.68,2.02,1,2.2018
1.62,1899.77,2.71,3.03,1,4.9086
0.72,475.2,2.51,1.0,1,0.72
0.89,781.06,2.61,1.0,1,0.89
1.1,1188.99,2.01,2.01,1,2.211
1.09,786.11,3.31,2.02,1,2.2018
1.49,1072.8,3.4,2.0,1,2.98
0.96,1161.6,2.11,1.0,1,0.96
1.41,1351.34,2.09,1.98,1,2.7918
1.02,979.2,2.79,2.0,1,2.04
0.8,968.88,1.6,1.01,1,0.808
0.74,487.51,2.31,1.0,1,0.74
0.54,653.4,3.41,1.0,1,0.54
1.22,1474.86,1.62,1.0,1,1.22
1.65,1716.0,2.69,3.0,1,4.949999999999999
1.71,1334.83,3.5,3.01,1,5.147099999999999
1.39,1502.45,3.42,2.01,1,2.7938999999999994
1.0,1321.1,2.81,2.01,1,2.01
0.72,633.02,3.6,1.0,1,0.72
1.01,887.18,3.51,1.0,1,1.01
1.33,1752.67,3.1,1.98,1,2.6334
0.61,535.82,3.68,1.0,1,0.61
1.93,2008.74,3.5,3.01,1,5.8092999999999995
1.72,2455.82,2.72,2.98,1,5.1255999999999995
0.73,885.71,2.7,1.03,1,0.7519
1.01,726.59,3.51,1.99,1,2.0099
1.45,1752.9,1.9,1.0,1,1.45
1.9,2226.42,3.51,3.02,1,5.7379999999999995
0.82,722.26,3.7,1.01,1,0.8281999999999999
1.49,1607.86,1.52,1.99,1,2.9651
1.78,2081.0,2.71,2.99,1,5.3222000000000005
0.61,738.1,2.21,1.0,1,0.61
1.93,2755.65,2.68,2.98,1,5.751399999999999
1.04,1365.94,2.31,1.94,1,2.0176
1.37,1483.3,2.2,2.03,1,2.7811
1.85,1924.0,3.49,3.0,1,5.550000000000001
0.71,469.03,3.09,1.01,1,0.7171
1.8,1869.12,2.69,2.98,1,5.364
1.26,1661.81,1.8,1.99,1,2.5074
1.71,1775.66,3.5,2.98,1,5.0958
1.03,1113.33,2.11,2.01,1,2.0703
0.52,457.18,3.19,1.0,1,0.52
0.75,660.0,2.1,1.0,1,0.75
1.84,1913.6,2.69,3.0,1,5.5200000000000005
0.71,469.03,2.58,1.01,1,0.7171
1.06,932.8,1.89,1.0,1,1.06
1.09,1046.4,3.41,2.0,1,2.18
0.83,731.06,3.5,1.01,1,0.8382999999999999
1.12,1073.41,3.33,1.98,1,2.2176
0.55,484.0,2.0,1.0,1,0.55
1.62,1895.4,2.71,3.0,1,4.86
1.34,1770.27,1.9,2.01,1,2.6934
1.06,1018.45,1.49,2.01,1,2.1306
1.25,1197.0,2.51,1.97,1,2.4625
1.15,828.0,2.49,2.0,1,2.3
0.67,663.3,2.58,1.0,1,0.67
1.57,1839.73,3.49,3.02,1,4.7414000000000005
1.17,841.7,3.18,1.99,1,2.3283
1.48,975.91,2.0,1.0,1,1.48
1.06,1050.35,2.71,1.01,1,1.0706
0.64,772.99,2.8,1.0,1,0.64
1.9,2717.0,3.49,3.0,1,5.699999999999999
0.74,893.77,1.91,1.0,1,0.74
1.23,887.81,3.17,2.03,1,2.4968999999999997
1.6,2289.76,2.71,3.01,1,4.816
1.33,1606.37,2.5,1.0,1,1.33
0.59,389.75,2.61,1.01,1,0.5959
1.42,1874.4,3.39,2.0,1,2.84
1.02,734.4,1.9,2.0,1,2.04
1.08,1167.37,2.1,2.01,1,2.1708
1.01,1088.98,1.49,1.98,1,1.9998
1.45,958.74,1.9,1.02,1,1.4789999999999999
1.2,1188.0,2.91,1.0,1,1.2
0.56,369.26,2.18,1.0,1,0.56
1.43,1890.75,2.2,2.02,1,2.8886
1.35,1779.03,2.1,1.98,1,2.673
1.52,1182.86,3.51,2.97,1,4.5144
1.09,1321.3,3.41,1.02,1,1.1118000000000001
0.81,534.6,3.67,1.0,1,0.81
1.07,769.76,2.4,1.99,1,2.1293
1.01,1337.64,3.43,2.04,1,2.0604
1.41,1521.53,2.58,1.99,1,2.8059
1.75,2050.65,2.7,3.02,1,5.285
0.69,607.75,2.6,1.01,1,0.6969
0.81,712.8,2.28,1.0,1,0.81
0.66,435.6,2.29,1.0,1,0.66
1.02,1101.6,2.88,2.0,1,2.04
1.39,1498.7,1.51,1.98,1,2.7521999999999998
1.39,1377.35,3.43,1.01,1,1.4039
0.8,967.12,2.9,1.0,1,0.8
1.11,977.69,3.1,1.01,1,1.1211000000000002
1.19,1573.42,2.31,2.02,1,2.4038
1.2,1294.92,1.98,1.99,1,2.388
0.5,330.0,1.79,1.0,1,0.5
1.02,979.2,3.3,2.0,1,2.04
0.73,481.8,2.7,1.0,1,0.73
1.86,1449.68,2.69,2.99,1,5.561400000000001
1.34,1625.82,2.31,1.03,1,1.3802
1.43,1544.4,2.59,2.0,1,2.86
1.28,844.8,3.41,1.0,1,1.28
1.73,2022.54,3.5,2.99,1,5.172700000000001
1.31,940.84,2.6,1.97,1,2.5807
1.19,1283.06,3.59,1.98,1,2.3562
1.84,2631.2,3.5,3.0,1,5.5200000000000005
1.13,993.5,2.17,1.0,1,1.13
1.81,1411.8,3.49,3.0,1,5.43
1.41,1393.36,2.0,1.0,1,1.41
1.13,992.59,3.11,1.0,1,1.13
0.59,388.69,2.61,1.0,1,0.59
0.5,605.0,3.19,1.0,1,0.5
1.29,926.48,3.48,1.97,1,2.5413
1.26,1525.99,2.49,1.01,1,1.2726
1.2,1584.0,3.11,2.0,1,2.4
0.58,701.16,3.43,1.0,1,0.58
1.15,827.31,1.5,1.99,1,2.2885
1.08,711.5,2.58,1.0,1,1.08
1.13,745.8,2.21,1.0,1,1.13
0.65,570.96,2.31,1.0,1,0.65
1.38,1818.56,2.11,1.98,1,2.7323999999999997
1.26,1211.62,2.5,2.02,1,2.5452
1.4,1510.74,2.57,1.99,1,2.786
1.1,1188.0,1.72,2.0,1,2.2
1.27,1259.59,2.6,1.02,1,1.2954
0.69,683.1,2.4,1.0,1,0.69
1.29,1236.34,2.02,1.98,1,2.5542000000000002
0.57,564.3,3.19,1.0,1,0.57
1.72,1340.57,2.71,2.99,1,5.1428
1.75,1822.8,3.49,3.02,1,5.285
1.49,1313.58,2.03,1.02,1,1.5198
1.66,1298.78,3.5,3.04,1,5.0464
1.34,1324.19,2.31,1.0,1,1.34
1.91,2731.3,3.51,3.0,1,5.7299999999999995
1.17,771.5,2.51,1.0,1,1.17
1.31,1585.1,2.41,1.0,1,1.31
1.04,1371.66,3.2,1.99,1,2.0696
1.4,1514.52,1.51,2.02,1,2.828
1.19,1141.45,2.6,1.99,1,2.3681
0.7,691.11,2.51,1.0,1,0.7
1.1,1331.0,2.49,1.0,1,1.1
1.35,1459.22,2.57,2.01,1,2.7135
1.38,1491.64,2.71,2.01,1,2.7737999999999996
1.93,2762.02,3.5,3.01,1,5.8092999999999995
1.12,737.86,3.09,1.0,1,1.12
1.31,1415.98,3.01,2.01,1,2.6330999999999998
1.88,2197.91,2.69,2.99,1,5.6212
1.36,980.83,1.6,2.02,1,2.7472000000000003
1.19,1439.9,1.99,1.0,1,1.19
1.66,2370.15,3.51,2.98,1,4.9468
1.3,934.44,1.61,1.98,1,2.574
1.33,1435.2,2.3,1.99,1,2.6467
1.33,1437.6,2.31,2.01,1,2.6733
1.46,1052.08,1.98,2.01,1,2.9345999999999997
1.15,1103.08,2.51,1.99,1,2.2885
1.25,900.0,2.5,2.0,1,2.5
1.67,1953.9,3.48,3.0,1,5.01
1.99,2328.3,2.68,3.0,1,5.97
1.72,2010.85,3.5,2.99,1,5.1428
1.49,1429.21,2.8,1.99,1,2.9651
1.13,745.8,2.19,1.0,1,1.13
1.59,1239.25,3.5,2.99,1,4.7541
1.61,1671.82,2.68,2.98,1,4.7978000000000005
1.22,1315.4,2.31,1.98,1,2.4156
2.01,2876.51,3.5,3.01,1,6.050099999999999
1.97,1535.42,3.51,2.99,1,5.890300000000001
1.47,1587.6,2.39,2.0,1,2.94
1.03,906.4,1.6,1.0,1,1.03
1.23,811.06,1.98,1.0,1,1.23
1.42,1023.25,2.61,2.01,1,2.8541999999999996
1.18,1274.4,2.39,2.0,1,2.36
0.98,1186.88,3.09,1.01,1,0.9898
0.58,700.52,2.71,1.0,1,0.58
1.05,1270.5,2.38,1.0,1,1.05
1.37,1806.89,2.8,1.99,1,2.7263
1.28,1383.55,1.89,2.01,1,2.5728
1.71,2003.78,3.52,3.02,1,5.1642
1.17,1263.6,2.71,2.0,1,2.34
1.89,1965.6,2.69,3.0,1,5.67
1.3,858.0,2.2,1.0,1,1.3
1.66,1723.74,3.5,2.98,1,4.9468
1.48,1064.71,2.4,1.99,1,2.9452
1.97,2819.27,2.68,3.01,1,5.9296999999999995
1.57,1223.66,3.51,2.99,1,4.6943
1.0,1080.9,2.41,2.01,1,2.01
1.17,1415.7,2.39,1.0,1,1.17
1.08,1306.8,3.41,1.0,1,1.08
1.27,1538.1,3.49,1.01,1,1.2827
0.55,482.24,3.39,1.0,1,0.55
2.01,2346.27,3.5,2.97,1,5.9697
1.18,848.18,2.89,1.98,1,2.3364
1.24,1499.04,2.48,1.0,1,1.24
1.0,718.8,2.3,1.98,1,1.98
1.1,792.0,2.8,2.0,1,2.2
1.62,1895.4,2.7,3.0,1,4.86
0.99,652.81,1.92,1.0,1,0.99
1.23,1181.78,3.31,2.01,1,2.4722999999999997
0.8,703.36,3.41,1.0,1,0.8
1.17,1159.35,2.39,1.01,1,1.1817
0.61,738.1,3.7,1.0,1,0.61
1.08,1309.18,2.58,1.02,1,1.1016000000000001
1.41,1861.2,2.49,2.0,1,2.82
1.51,1178.71,3.5,3.01,1,4.5451
1.26,1247.4,3.73,1.0,1,1.26
1.46,1925.59,1.5,1.99,1,2.9053999999999998
0.68,822.8,2.91,1.0,1,0.68
1.76,2059.2,2.69,3.0,1,5.28
1.04,1123.2,2.51,2.0,1,2.08
0.64,634.75,2.71,1.02,1,0.6528
1.25,1239.75,2.79,1.02,1,1.275
1.31,1296.9,2.21,1.0,1,1.31
1.0,1212.2,2.59,1.02,1,1.02
1.76,1830.4,2.7,3.0,1,5.28
1.19,1573.42,2.38,2.02,1,2.4038
1.13,1366.06,1.71,1.0,1,1.13
1.8,1872.0,3.5,3.0,1,5.4
1.39,1376.1,1.71,1.0,1,1.39
1.96,2036.83,3.5,2.99,1,5.8604
0.74,651.2,2.71,1.0,1,0.74
0.9,892.62,2.09,1.02,1,0.918
0.56,369.26,3.19,1.0,1,0.56
0.69,455.4,3.09,1.0,1,0.69
0.79,954.16,2.79,1.0,1,0.79
1.14,820.12,2.39,1.99,1,2.2685999999999997
1.77,2529.15,3.51,2.99,1,5.2923
0.55,666.1,3.37,1.01,1,0.5555000000000001
0.83,1003.39,2.6,1.0,1,0.83
1.07,1028.06,2.1,2.01,1,2.1507
1.82,2596.59,3.5,2.97,1,5.4054
1.28,1127.42,2.29,1.01,1,1.2928
1.45,1435.5,3.2,1.0,1,1.45
1.44,1556.5,3.39,2.01,1,2.8943999999999996
0.98,971.96,2.11,1.02,1,0.9996
1.2,1585.32,2.9,2.01,1,2.4119999999999995
0.97,959.43,3.18,1.0,1,0.97
1.19,1572.11,2.42,2.01,1,2.3918999999999997
1.35,970.38,2.43,1.98,1,2.673
1.49,1072.8,2.01,2.0,1,2.98
0.64,563.2,1.72,1.0,1,0.64
0.98,972.85,2.61,1.03,1,1.0094
1.02,896.78,2.31,1.0,1,1.02
1.22,1314.31,3.21,1.97,1,2.4034
1.01,1332.09,3.49,1.99,1,2.0099
1.1,1450.79,2.81,1.99,1,2.189
1.3,936.78,3.51,2.01,1,2.613
0.72,871.2,1.53,1.0,1,0.72
1.12,739.87,3.12,1.01,1,1.1312000000000002
1.78,2541.48,3.48,2.98,1,5.3044
0.84,1017.32,2.41,1.01,1,0.8483999999999999
1.78,1849.78,2.69,2.99,1,5.3222000000000005
1.35,1777.54,2.42,1.97,1,2.6595
1.39,917.4,3.0,1.0,1,1.39
1.99,2845.7,3.49,3.0,1,5.97
1.25,1200.0,3.19,2.0,1,2.5
1.07,1027.2,3.5,2.0,1,2.14
0.61,536.8,2.6,1.0,1,0.61
1.32,872.78,2.9,1.02,1,1.3464
1.16,1114.53,2.48,2.01,1,2.3315999999999995
0.96,846.34,2.1,1.02,1,0.9792
1.29,1394.36,2.38,2.01,1,2.5928999999999998
1.55,1613.24,3.48,3.01,1,4.6655
1.66,1943.69,3.5,3.01,1,4.996599999999999
1.2,1297.08,2.81,2.01,1,2.4119999999999995
1.02,896.78,2.1,1.0,1,1.02
1.46,965.35,2.09,1.02,1,1.4892
1.13,1490.36,2.49,1.99,1,2.2487
1.65,1717.32,2.7,3.01,1,4.966499999999999
1.2,1057.92,2.5,1.02,1,1.224
0.76,668.19,3.09,1.0,1,0.76
1.88,1467.53,3.47,3.01,1,5.658799999999999
1.63,1905.63,3.51,2.99,1,4.8737
1.33,1609.3,2.23,1.0,1,1.33
1.13,1218.37,1.68,1.98,1,2.2373999999999996
0.52,343.2,1.79,1.0,1,0.52
1.39,1683.43,1.9,1.01,1,1.4039
1.76,1831.81,3.5,3.01,1,5.2976
1.31,1417.16,1.98,2.02,1,2.6462000000000003
1.63,1269.44,2.72,2.98,1,4.857399999999999
0.74,488.84,1.89,1.01,1,0.7474
1.13,1219.38,2.18,1.99,1,2.2487
1.07,1028.06,2.2,2.01,1,2.1507
1.93,1504.24,2.7,2.99,1,5.770700000000001
1.0,1079.1,1.6,1.99,1,1.99
1.86,2177.87,3.5,3.01,1,5.5986
0.91,600.05,1.7,1.0,1,0.91
1.31,863.03,3.41,1.0,1,1.31
0.97,960.3,1.72,1.0,1,0.97
1.03,1111.47,2.38,1.99,1,2.0497
1.33,1277.86,2.89,2.01,1,2.6733
0.59,585.16,3.42,1.02,1,0.6018
1.07,771.04,1.98,2.01,1,2.1507
1.42,1874.4,2.89,2.0,1,2.84
1.47,1940.4,2.31,2.0,1,2.94
1.97,2819.27,2.7,3.01,1,5.9296999999999995
1.99,2331.88,3.49,3.02,1,6.0098
1.8,1401.84,3.5,2.98,1,5.364
1.09,720.05,2.1,1.01,1,1.1009
1.08,778.9,1.7,2.02,1,2.1816
1.71,1777.03,3.49,2.99,1,5.112900000000001
1.31,1727.76,3.3,1.99,1,2.6069
1.23,1083.38,2.9,1.01,1,1.2423
1.46,1440.14,1.78,1.0,1,1.46
1.67,2389.94,2.69,3.01,1,5.026699999999999
1.64,1709.54,3.5,3.03,1,4.969199999999999
1.99,2069.6,2.69,3.0,1,5.97
